Sygnatura czasowa,author,Cyfrowy wsizerunek pracy (prosimy o podpisanie prac imieniem i nazwiskiem lub pseudonimem):,title,type,format,"Inne technikalia (wszystko, czym chciał*byś się z nami podzielić): ",Czy chcesz przesłać kolejną pracę?,Cyfrowy wizeqrunek pracy (prosimy o podpisanie prac imieniem i nazwasdiskiem lub pseudonimasdem):,title2,type2,format2,"Innae technikalia (wszystko, czym chciał*byś się z nami podzielić): ",Czy chcesz przesłać asdkolejną pracę?,Cyfrowy wizerasdunek pracy (prosimy o podpisanie prac imieniem i nazwiskiem lub pseuasddonimem):,title3,type3,format3,"Inne tecasdhnikalia (wszystko, czym chciał*byś się z nami podzielić): "
2022-10-31 22:03:05,Magdalena Pelc / pelcc.illustra,https://drive.google.com/open?id=1FSYlH8qY-Hv0sCjqO1w5zHjP3PInlV7R,Śpiące baranki / Sleeping lambs ,Grafika,30x40 cm,Print na ozdobnym papierze jako reprodukcja oryginalnej ilustracji wykonanej ołówkiem,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-31 22:14:19,Karolina Ciepielewska,https://drive.google.com/open?id=18_VzHmLV3YtqpmzUGNmi5TAEyrTZjLO5,Krajobraz z fafikiem,Grafika,100x70 cm,,"Nie, wyślij formularz",,,,,,,,,,,
2022-10-31 23:20:19,Weronika Skierka,https://drive.google.com/open?id=1zxT3UTuy_XdzMzQGMwTGA6x8JlRi72UQ,Sunny Day,Grafika,30x30 cm ,,Tak,https://drive.google.com/open?id=1qJKcH2D5AAiHyd2q37_xg52v4TfCS_zI,Dog Mom,Grafika,30x30 cm,,"Nie, wyślij formularz",,,,,
2022-11-01 01:17:30,Alicja Pałgan,https://drive.google.com/open?id=1kMStmLijk6ULLxbQN51jAuMwerSkGcKv,Psiniądz,Grafika,"A5 (14,8x21 cm)",Wydruk cyfrowy rysunku odręcznego,"Nie, wyślij formularz",,,,,,,,,,,
2022-11-01 12:51:19,Paulina  Wujec / Paolka.Wu,https://drive.google.com/open?id=1yuOcZr1jNXvmJ6vJPM4mXVP18tWRZ253,#supercat,Grafika,50 x 70 cm,,"Nie, wyślij formularz",,,,,,,,,,,
2022-11-01 17:37:46,Katarzyna Stefaniak,"https://drive.google.com/open?id=16-C9oooWbreZk7yVB_DgtVxhhnUO6fG2, https://drive.google.com/open?id=1qzQIFVOEkK5r98WBPZTuImP_NSYjkRKF, https://drive.google.com/open?id=14zNINoD7A_IPV2TQours9-eodfWKXqWv",Przyjaciele,Ceramika,"19x10x5,5","Postument w technice raku, postać porcelana","Nie, wyślij formularz",,,,,,,,,,,
2022-11-01 21:34:07,Karolina Woźniak,https://drive.google.com/open?id=1XXljwvcsaBp53ioqIxjfGm2HvkOkjEbY,Psiara,Grafika,30x35cm,Jeden z dwóch rysunków przekazanych na aukcję. Modelkami tutaj były dwie Sonie: jedna to moja koleżanka a druga to jej suczka uratowana z ukraińskiego schroniska.,Tak,https://drive.google.com/open?id=1qtuUmSuuNCXFFhCtyQ99rHwq0C7ZC289,Kociara,Grafika,30x35cm,Drugi rysunek przekazany na aukcję. Tym razem coś dla miłośniczek i miłośnikow kotów.,"Nie, wyślij formularz",,,,,
2022-11-02 09:20:29,Marta Podolska,https://drive.google.com/open?id=1v1_55B7IjqB3suIFBsBToXXh2C-p4Roa,Cat,Grafika,40x60,"Wydruk na papierze spełniającym standardy archiwalne, Solution White Velvet 270g. ",Tak,https://drive.google.com/open?id=1So781i5vE77K9RmMvqJg4ZstnsaHp1Ws,OWL,Grafika,40x60,"Wydruk na papierze spełniającym standardy archiwalne, Solution White Velvet 270g. ",Tak,https://drive.google.com/open?id=1YJ_7O8Ytj4L8PuAxY5HU23iPROgSvoY1,MONKEY,Grafika,40x60,"Wydruk na papierze spełniającym standardy archiwalne, Solution White Velvet 270g. "
2022-11-02 09:40:36,Weronika Kuc,"https://drive.google.com/open?id=1mD7Q4HXmWBkcwDyvLR-8XrWWcof1Icpa, https://drive.google.com/open?id=1Ll9PgYnQ1HmEnYWETQh9FK44oZiywPDT",Gattino,Inne,A4,Oryginalny rysunek wykonany tuszem i pędzelkiem na papierze. ,"Nie, wyślij formularz",,,,,,,,,,,
2022-11-02 10:44:48,Aleksandra Morawiak,"https://drive.google.com/open?id=1mJuyr8VT6gk4PGeWE6xfbo3m_KxHMOyr, https://drive.google.com/open?id=1L7LJpjoqJtlIbWc1v1mpYIrxynRwvW7V",Oh Dogs! + Oh Cats!,Grafika,30x40 cm,,"Nie, wyślij formularz",,,,,,,,,,,
2022-11-03 11:28:05,Igor Kubik,https://drive.google.com/open?id=1XBVKDB9-WxYZi4RIHJh71hd2NbJVUGcy,"Praca z serii ""Portret pieska""",Inne,"51x72,5cm",technika: rysunek tuszem na papierze ,Tak,https://drive.google.com/open?id=1bM_F6q8gHUEbQC1eroeptHDVh6g5Yfhw,"Praca z serii ""Portret pieska""",Inne,"51x72,5cm",technika: rysunek tuszem na papierze,Tak,https://drive.google.com/open?id=1EDahJbu4523D95lrc_sTknjU7m3dl-_Y,"Praca z serii ""Portret pieska""",Inne,"51x72,5cm",technika: rysunek tuszem na papierze
2022-11-03 11:59:37,Żaneta Antosik,https://drive.google.com/open?id=18GFxPjpkBephsJsPcfoj-7pEvtQ4W1sF,Dragonfly,Grafika,40 cm x 50 cm,,"Nie, wyślij formularz",,,,,,,,,,,
2022-11-03 12:27:15,Zosia Jędruszczak,https://drive.google.com/open?id=1jRVJ8bi5BmKsS86CGeNEcfwg1lTOs9Aj,Pjesek Kosmonauta,Grafika,50 x 70 cm,,"Nie, wyślij formularz",,,,,,,,,,,
2022-11-03 12:52:52,Paula Dudek,https://drive.google.com/open?id=1RQSfx669u-Y9BBgEc2xpGWcRx_25IUvA,Jaskółki,Grafika,50x70 cm,"Grafika ""Jaskółka"" przedstawia kobietę, która nie jest ptakiem, ale która dzięki pomocy innych - lata. Mówi też o tym, że dobrzy dla nas ludzie ciągną w górę, a nie w dół.
I jest też o tym, że można być nieco ""innym"", a jednocześnie można należeć do paczki, która akceptuje, pomaga, i jednocześnie razem z Tobą dobrze się bawi!

plakat, papier 230 gram","Nie, wyślij formularz",,,,,,,,,,,
2022-11-03 13:01:36,Zuzanna Skórska,"https://drive.google.com/open?id=1MFk56ChTUfz64tsOD2K8DUohntVPOTSt, https://drive.google.com/open?id=1fn2hC1mitKzBmLr_t4vc3U7ScvVhKBjp",Wild cats,"Malarstwo, Grafika",50x70 cm,"Printy wysokiej jakości, obrazy wykonane farbami akrylowymi oraz poddane obróbce cyfrowej","Nie, wyślij formularz",,,,,,,,,,,
2022-11-03 14:07:01,Kinga Offert,"https://drive.google.com/open?id=1NUStXqUS-aoyIE2Vkkv4ZFy1Wi5DBMJl, https://drive.google.com/open?id=1l1Z88vi_sXPnHpr5dsi_csK_DeoOGK8K, https://drive.google.com/open?id=1LHWdrEyVWWwQA91sm8H2cB6tiqj0ny5l",Digital friend 01,Inne,14x14x2cm,Hama pixel art przyklejone na 18 mm sklejce.,Tak,"https://drive.google.com/open?id=1dEaBZ1GyWCe1aNkWEn26ziRWsQYQNpzo, https://drive.google.com/open?id=1xlA4Gz_GFSylJeTvcGkpKTTcAty1pDIj",Jamnik,"Grafika, Inne",40x50 cm,druk cyfrowy na papierze archiwalnym,"Nie, wyślij formularz",,,,,
2022-11-03 17:23:25,Natalia Biegalska ,https://drive.google.com/open?id=1FkJaICU3Lu7O4qXL9R4Lkj79rAfstOu1,Dobry Rok,Inne,50x70 cm,Plakat- wysokiej jakości druk artystyczny pigmentowy na papierze standard rough 220 gram.,Tak,https://drive.google.com/open?id=1u9U4JShDLG97DiNffDwFSINu_hx0V6oX,Kosmo Pieseł,Inne,50 x 70 cm,Plakat- wysokiej jakości druk artystyczny pigmentowy na papierze standard rough 220 gram.,"Nie, wyślij formularz",,,,,
2022-11-03 20:54:52,Aleksandra Stanglewicz,https://drive.google.com/open?id=1etCi29FhviVrOItVjVnfmCMk4ROIpAQO,Frajda,Malarstwo,A4,Praca została ręcznie namalowana akwarelami,"Nie, wyślij formularz",,,,,,,,,,,
2022-11-04 12:56:13,Klaudia,https://drive.google.com/open?id=1LRyUfc0kt-EgrURnRCARU0PfrODuyBqz,W pieskach nadzieja,Grafika,30x40 cm,grafika komputerowa,"Nie, wyślij formularz",,,,,,,,,,,
2022-11-05 09:59:01,Marta Chmielecka,https://drive.google.com/open?id=1FU327Fo9zhBAKNtN6uGtoOYHhvorcfc4,We fioletowym berecie,Malarstwo,30x40cm,Ilustracja inspirowana jest zdjęciem aktorki Ellen Terry ze swoim psiakiem. ,"Nie, wyślij formularz",,,,,,,,,,,
2022-11-06 23:52:31,Ola Jędrzejewska,https://drive.google.com/open?id=1n2aDe_zBo3nwNQxFpO2tBDpi_QMDW-nH,Cafe de la luz,Grafika,40x50cm,wydruk cyfrowy,"Nie, wyślij formularz",,,,,,,,,,,
2022-11-07 14:56:51,Małgorzata Wysocka Kibart,"https://drive.google.com/open?id=1OH7-e1epRrbm6XHJ6ccLtOXmC1kScLmZ, https://drive.google.com/open?id=1mUpl-01vkIPa7g0ekwxbe8u5VH3B7Yv6, https://drive.google.com/open?id=19CseqzVPrYlPb3q5QHwwuDELQuCHT7jX",Istota,Inne,50x70,Plakat wydruk Fine Art,Tak,"https://drive.google.com/open?id=1R02gwMySmr4OzG0b-6U2JlFZiNvp6OI0, https://drive.google.com/open?id=19eG8hOXyEkqv35hrB6Njs4ZRiqwD0UhY, https://drive.google.com/open?id=1Z_WwbQaf1VXYP1KitU7USNQ9_e5DR49S",Cisza,Inne,50x70,Plakat Wydruk Fine Art,"Nie, wyślij formularz",,,,,
2022-11-07 15:12:06,Karolina Krawczyk/Pamgzi Ceramics,"https://drive.google.com/open?id=1MKcGty57Esm88oKn3wco_9067kDw_QYp, https://drive.google.com/open?id=1mlGD7nNLR967gT9iJ1xtQkn7IJVbnReQ",Przyjaciele,Ceramika,"ok.17 cm wysokości, ok 12 cm szerokości","Praca wykonana jest ręcznie z porcelany białej jak i barwionej, ręcznie  malowana. Szkliwiona bezbarwnym szkliwem ,zdobiona prawdziwym 12% złotem i angobą. Wypalona w 1260 stopniach. ","Nie, wyślij formularz",,,,,,,,,,,
2022-11-07 16:48:42,Dorota Piechocińska Ilustradora,https://drive.google.com/open?id=1Dv3XjTLYVBHL6unty2hmeyMI9mJc7ger,Abstrakcyjna parówka,Grafika,50x70,ołówek + digital,"Nie, wyślij formularz",,,,,,,,,,,
2022-11-07 17:46:40,Zofia Różycka,https://drive.google.com/open?id=1DsINwwBNZUDBOhHYKho0ffWgMPu0ftsd,pieski,Grafika,35 cm x 44 cm,akwarela z ołówkiem na papierze akwarelowym,Tak,https://drive.google.com/open?id=1ZNiNTe4a7R_F8dYsNKlCdsw5UgY5O5Wy,pieski ceramiczne,Ceramika,od 1 cm do ok. 4 cm długości i od 1 cm do ok. 3 cm wysokości,,"Nie, wyślij formularz",,,,,
2022-11-08 16:41:39,Richie Acapulco,https://drive.google.com/open?id=1KkrYKjQIUtaiUDXE7kVIJeiEczDjRZ5T,Voucher na figurkę Twojego pupila,Ceramika,-,,"Nie, wyślij formularz",,,,,,,,,,,
2022-11-08 17:05:13,Paulina Adamowska,https://drive.google.com/open?id=1TGH-gz3NVLzNPwjFld58vHweYp4eqI1r,Piesek,Malarstwo,50 x 70 cm,akryl na płótnie,"Nie, wyślij formularz",,,,,,,,,,,
2022-11-08 19:57:52,Ewelina Kordecka ,https://drive.google.com/open?id=19D0f-TGWPZPtY-W5_5ut8ISDXFQ2sEli,Cat déco,Grafika,50x70cm,,"Nie, wyślij formularz",,,,,,,,,,,
2022-11-09 11:43:59,Karol Banach,https://drive.google.com/open?id=1qF1oH9tX8DsYj-q1AyeBVkZm8igfLdrr,Hurry up,Grafika,b2,,"Nie, wyślij formularz",,,,,,,,,,,
2022-11-10 09:21:09,Magda Danaj Porysunki,https://drive.google.com/open?id=1hedVjP0H4vxrD-RzMlkhKzFfP0c-z6wl,Nos absolutny,Grafika,50 x 70,"poprzedni formularz był błędny, zupełnie inny plik :) ","Nie, wyślij formularz",,,,,,,,,,,
2022-11-10 19:44:41,Nadia Kubczak,https://drive.google.com/open?id=1lAWtN81lmQh8kE_wh5ATsc5HCmBgBUrq,"""Dog Mermaids""",Grafika,50 cm x 70 cm,Plakat drukowany jest na wysokiej jakości matowym papierze o gramaturze 200g.,"Nie, wyślij formularz",,,,,,,,,,,
2022-11-11 15:09:09,Monika Chlebek,https://drive.google.com/open?id=1cw8JbXbD7M7M_0sJNySIxVXitvZWaR3Q,"""Snowman""",Inne,A3,"wydruk obrazu ""Snowman"" na matowym papierze Tecco","Nie, wyślij formularz",,,,,,,,,,,
